time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.989991,-0.000207,0.000012,-0.008355
0.994991,-0.000190,-0.000021,-0.007174
0.999991,-0.000188,-0.000023,-0.006438
1.004991,-0.000191,-0.000010,-0.005465
1.009991,-0.000195,-0.000001,-0.004911
1.014991,-0.000196,0.000001,-0.004274
1.019992,-0.000195,-0.000001,-0.003959
1.024992,-0.000197,0.000006,-0.003626
1.029992,-0.000191,-0.000003,-0.003490
1.034992,-0.000183,-0.000019,-0.003379
1.039993,-0.000176,-0.000031,-0.003350
1.044993,-0.000161,-0.000054,-0.003327
1.049993,-0.000142,-0.000084,-0.003321
1.054993,-0.000112,-0.000133,-0.003277
1.059994,-0.000090,-0.000167,-0.003047
1.064994,-0.000054,-0.000216,-0.002113
1.069994,-0.000037,-0.000241,-0.001075
1.074994,-0.000009,-0.000278,0.001044
1.079994,0.000009,-0.000304,0.002794
1.084995,0.000025,-0.000328,0.005833
1.089995,0.000036,-0.000348,0.008071
1.094995,0.000049,-0.000380,0.011599
1.099995,0.000058,-0.000406,0.013917
1.104996,0.000059,-0.000427,0.017138
1.109996,0.000059,-0.000441,0.018922
1.114996,0.000052,-0.000451,0.020727
1.119996,0.000044,-0.000453,0.021277
1.124997,0.000033,-0.000457,0.021267
1.129997,0.000024,-0.000453,0.020812
1.134997,0.000012,-0.000454,0.019576
1.139997,0.000006,-0.000447,0.018479
1.144997,0.000001,-0.000418,0.016561
1.149998,0.000001,-0.000398,0.015204
1.154998,0.000000,-0.000378,0.013120
1.159998,-0.000002,-0.000375,0.011724
1.164998,-0.000005,-0.000373,0.009664
1.169999,-0.000010,-0.000385,0.008348
1.174999,-0.000018,-0.000402,0.006486
1.179999,-0.000024,-0.000413,0.005339
1.184999,-0.000025,-0.000415,0.003785
1.190000,-0.000012,-0.000388,0.002916
1.195000,0.000013,-0.000338,0.001931
1.200000,0.000024,-0.000319,0.001482
1.205000,0.000043,-0.000284,0.001113
1.210001,0.000063,-0.000252,0.001010
1.215001,0.000080,-0.000223,0.000997
1.220001,0.000088,-0.000213,0.001049
1.225001,0.000106,-0.000193,0.001195
1.230001,0.000120,-0.000176,0.001313
1.235002,0.000150,-0.000130,0.001476
1.240002,0.000173,-0.000095,0.001558
1.245002,0.000218,-0.000027,0.001618
1.250002,0.000251,0.000023,0.001614
1.255003,0.000273,0.000056,0.001537
1.260003,0.000281,0.000065,0.001449
1.265003,0.000290,0.000076,0.001277
1.270003,0.000303,0.000094,0.001155
1.275004,0.000318,0.000110,0.000985
1.280004,0.000323,0.000115,0.000898
1.285004,0.000318,0.000109,0.000761
1.290004,0.000307,0.000094,0.000640
1.295004,0.000309,0.000095,0.000455
